Minimax,4,30,4.31058421
Minimax,4,31,3.597214969
Minimax,4,43,5.256860933
Minimax,4,38,4.19947236
Minimax,4,41,4.407603239
Minimax,4,45,4.976461902
Minimax,4,43,4.175821681
Minimax,4,31,4.943186152
Minimax,4,38,5.014549328
Minimax,4,37,4.68581701
Minimax,3,41,0.433556896
Minimax,3,39,0.466639838
Minimax,3,37,0.461892598
Minimax,3,46,0.458895085
Minimax,3,38,0.48955871
Minimax,3,45,0.5133776
Minimax,3,44,0.436338135
Minimax,3,44,0.530983125
Minimax,3,49,0.541690808
Minimax,3,40,0.446071325
Minimax,2,46,0.063551565
Minimax,2,44,0.067242321
Minimax,2,42,0.048815269
Minimax,2,43,0.064226174
Minimax,2,47,0.067451227
Minimax,2,43,0.063655422
Minimax,2,47,0.064607034
Minimax,2,42,0.065269224
Minimax,2,43,0.059832451
Minimax,2,42,0.067426894
AlphaBeta,2,42,0.038128323
AlphaBeta,2,38,0.038027653
AlphaBeta,2,47,0.036198077
AlphaBeta,2,41,0.033640057
AlphaBeta,2,38,0.034912142
AlphaBeta,2,40,0.032837904
AlphaBeta,2,45,0.034384778
AlphaBeta,2,36,0.033511325
AlphaBeta,2,47,0.034794042
AlphaBeta,2,43,0.034678841
AlphaBeta,4,37,0.679354934
AlphaBeta,4,41,0.643348718
AlphaBeta,4,35,0.63176122
AlphaBeta,4,45,0.598146067
AlphaBeta,4,34,0.642519824
AlphaBeta,4,39,0.582592604
AlphaBeta,4,33,0.642777602
AlphaBeta,4,43,0.530168296
AlphaBeta,4,38,0.547789926
AlphaBeta,4,47,0.573169763
AlphaBeta,3,50,0.140131555
AlphaBeta,3,41,0.158689383
AlphaBeta,3,49,0.162471115
AlphaBeta,3,48,0.136422926
AlphaBeta,3,43,0.153872888
AlphaBeta,3,46,0.143095972
AlphaBeta,3,43,0.146306046
AlphaBeta,3,43,0.150657781
AlphaBeta,3,42,0.169904083
AlphaBeta,3,43,0.133885962
BetterGreedyAgent,1,48,0.009916667
BetterGreedyAgent,1,41,0.009547684
BetterGreedyAgent,1,52,0.010826684
BetterGreedyAgent,1,51,0.013146179
BetterGreedyAgent,1,45,0.009812896
BetterGreedyAgent,1,45,0.00993208
BetterGreedyAgent,1,42,0.010701602
BetterGreedyAgent,1,45,0.010240599
BetterGreedyAgent,1,44,0.009739525
BetterGreedyAgent,1,46,0.009766417
GreedyAgent,1,14,0.010401394
GreedyAgent,1,16,0.013956719
GreedyAgent,1,9,0.011828925
GreedyAgent,1,9,0.01289673
GreedyAgent,1,10,0.011857377
GreedyAgent,1,12,0.013479826
GreedyAgent,1,12,0.007163478
GreedyAgent,1,11,0.012874358
GreedyAgent,1,9,0.01519549
GreedyAgent,1,9,0.009165495
